Experience,Education,Role,Location,Salary
1,Graduate,Software Engineer,Kolkata,25000
2,Graduate,Data Analyst,Delhi,30000
3,Postgraduate,Software Engineer,Bangalore,45000
4,Postgraduate,Data Scientist,Hyderabad,60000
5,PhD,Data Scientist,Bangalore,85000
2,Graduate,Software Engineer,Mumbai,32000
3,Postgraduate,Data Analyst,Pune,40000
6,PhD,Software Engineer,Delhi,90000
7,PhD,Data Scientist,Bangalore,110000
1,Graduate,Data Analyst,Kolkata,28000
4,Postgraduate,Software Engineer,Hyderabad,52000
5,Postgraduate,Data Scientist,Mumbai,75000
6,PhD,Data Scientist,Delhi,95000
3,Graduate,Software Engineer,Pune,42000
2,Graduate,Data Analyst,Kolkata,31000
8,PhD,Software Engineer,Bangalore,120000
9,PhD,Data Scientist,Hyderabad,135000
4,Postgraduate,Data Analyst,Delhi,50000
5,Postgraduate,Software Engineer,Mumbai,70000
7,PhD,Data Scientist,Pune,105000
